실태조사응답자일련번호,응답자성별코드,응답자연령대코드,응답자거주지역코드
FFNSR_RSPT_CONNO,RSPT_SXDST_CD,RSPT_AGGRP_CD,RSPT_RSDNC_ARCD
907,M,5,15
908,M,6,15
909,M,4,8
911,M,4,3
912,M,4,8
913,M,2,8
914,F,5,3
915,F,5,8
916,F,4,15
918,F,4,1
919,F,1,8
921,F,3,15
922,F,4,15
923,F,4,8
924,F,1,8
925,M,4,1
926,M,2,3
927,M,5,8
928,M,5,3
930,F,4,8
931,M,2,15
932,F,2,8
933,F,2,8
935,M,2,15
936,M,4,8
937,M,2,15
938,M,5,15
939,M,3,8
940,F,1,13
941,F,3,15
942,F,2,8
944,M,6,8
945,F,1,8
946,F,1,8
947,M,6,15
948,M,5,7
949,M,5,15
951,F,3,15
952,F,3,7
953,F,2,15
956,F,4,4
958,F,6,7
959,F,1,15
960,F,3,15
961,M,4,7
962,F,3,15
963,F,5,8
964,F,4,3
965,M,4,8
966,F,5,8
967,M,1,1
968,F,3,3
969,M,6,13
970,F,2,8
971,F,6,1
972,M,4,8
973,F,4,1
974,M,6,13
975,F,3,8
976,F,4,1
977,M,3,10
978,F,5,1
979,F,1,1
980,F,5,8
981,F,4,1
982,M,3,8
983,F,3,15
984,F,4,2
985,F,3,1
986,M,4,3
991,F,6,3
993,F,6,8
994,M,4,1
995,F,4,6
997,M,2,6
998,F,6,8
999,M,2,8
1000,F,2,15
1001,M,3,8
1002,F,4,1
1003,F,6,1
1005,F,5,3
1006,F,2,15
1007,F,5,8
1009,M,4,3
1011,F,1,8
1012,M,4,3
1013,M,3,8
1015,F,4,15
1016,F,3,8
1017,M,5,3
1019,F,1,8
1020,F,4,15
1021,M,3,3
1022,M,1,8
1023,M,1,8
1024,F,4,15
1025,M,5,8
1026,M,3,8
1027,F,1,8
1028,F,6,16
1029,M,1,8
1030,F,4,8
1031,F,4,16
1032,M,2,1
1033,M,2,8
1034,F,5,16
1036,F,6,15
1037,F,3,8
1038,M,5,3
1040,F,3,16
1042,M,2,1
1043,F,6,8
1044,F,1,8
1045,F,3,8
1046,M,2,8
1047,F,4,8
1048,F,4,1
1049,M,2,8
1050,F,5,4
1051,F,1,8
1052,M,2,3
1053,M,3,4
1054,F,4,3
1055,F,2,8
1056,F,5,1
1057,M,2,8
1058,M,3,15
1059,F,1,1
1060,M,3,3
1061,F,5,8
1062,M,4,8
1063,M,3,1
1064,M,5,8
1065,F,5,8
1066,F,6,1
1067,M,2,8
1069,M,5,8
1070,M,4,8
1071,F,6,1
1072,M,1,1
1073,F,4,1
1074,M,1,8
1075,F,2,3
1076,F,4,8
1077,F,3,8
1078,F,5,1
1079,F,1,3
1080,M,3,1
